diffClass [hash=57198ab, filename=.gitignore, changedLines=4, count=6, max=6]
diffClass [hash=31213bf, filename=pom.xml, changedLines=25, count=1, max=1]
diffClass [hash=31213bf, filename=pom.xml, changedLines=28, count=4, max=4]
diffClass [hash=31213bf, filename=pom.xml, changedLines=29, count=1, max=1]
diffClass [hash=31213bf, filename=pom.xml, changedLines=30, count=1, max=1]
diffClass [hash=31213bf, filename=pom.xml, changedLines=31, count=2, max=2]
diffClass [hash=31213bf, filename=pom.xml, changedLines=33, count=5, max=5]
diffClass [hash=31213bf, filename=pom.xml, changedLines=34, count=1, max=1]
diffClass [hash=31213bf, filename=pom.xml, changedLines=35, count=1, max=1]
diffClass [hash=31213bf, filename=pom.xml, changedLines=38, count=11, max=11]
diffClass [hash=31213bf, filename=pom.xml, changedLines=39, count=1, max=1]
diffClass [hash=31213bf, filename=pom.xml, changedLines=40, count=1, max=1]
diffClass [hash=31213bf, filename=pom.xml, changedLines=41, count=14, max=14]
diffClass [hash=31213bf, filename=pom.xml, changedLines=46, count=20, max=20]
diffClass [hash=31213bf, filename=pom.xml, changedLines=50, count=2, max=2]
diffClass [hash=31213bf, filename=pom.xml, changedLines=55, count=41, max=41]
diffClass [hash=31213bf, filename=pom.xml, changedLines=58, count=2, max=2]
diffClass [hash=31213bf, filename=pom.xml, changedLines=60, count=3, max=3]
diffClass [hash=31213bf, filename=pom.xml, changedLines=61, count=1, max=1]
diffClass [hash=31213bf, filename=pom.xml, changedLines=62, count=1, max=1]
diffClass [hash=31213bf, filename=pom.xml, changedLines=66, count=80, max=80]
diffClass [hash=32196bf, filename=src/main/java/com/corundumstudio/socketio/HeartbeatHandler.java, changedLines=1, count=1, max=1]
diffClass [hash=32196bf, filename=src/main/java/com/corundumstudio/socketio/HeartbeatHandler.java, changedLines=2, count=1, max=1]
diffClass [hash=32196bf, filename=src/main/java/com/corundumstudio/socketio/HeartbeatHandler.java, changedLines=3, count=1, max=1]
diffClass [hash=32196bf, filename=src/main/java/com/corundumstudio/socketio/HeartbeatHandler.java, changedLines=4, count=1, max=1]
diffClass [hash=32196bf, filename=src/main/java/com/corundumstudio/socketio/HeartbeatHandler.java, changedLines=5, count=1, max=1]
diffClass [hash=32196bf, filename=src/main/java/com/corundumstudio/socketio/HeartbeatHandler.java, changedLines=6, count=1, max=1]
diffClass [hash=32196bf, filename=src/main/java/com/corundumstudio/socketio/HeartbeatHandler.java, changedLines=7, count=1, max=1]
diffClass [hash=32196bf, filename=src/main/java/com/corundumstudio/socketio/HeartbeatHandler.java, changedLines=8, count=1, max=1]
diffClass [hash=32196bf, filename=src/main/java/com/corundumstudio/socketio/HeartbeatHandler.java, changedLines=9, count=1, max=1]
diffClass [hash=32196bf, filename=src/main/java/com/corundumstudio/socketio/HeartbeatHandler.java, changedLines=10, count=1, max=1]
diffClass [hash=32196bf, filename=src/main/java/com/corundumstudio/socketio/HeartbeatHandler.java, changedLines=11, count=1, max=1]
diffClass [hash=32196bf, filename=src/main/java/com/corundumstudio/socketio/HeartbeatHandler.java, changedLines=12, count=1, max=1]
diffClass [hash=32196bf, filename=src/main/java/com/corundumstudio/socketio/HeartbeatHandler.java, changedLines=13, count=1, max=1]
diffClass [hash=32196bf, filename=src/main/java/com/corundumstudio/socketio/HeartbeatHandler.java, changedLines=14, count=1, max=1]
diffClass [hash=32196bf, filename=src/main/java/com/corundumstudio/socketio/HeartbeatHandler.java, changedLines=15, count=1, max=1]
diffClass [hash=32196bf, filename=src/main/java/com/corundumstudio/socketio/HeartbeatHandler.java, changedLines=16, count=1, max=1]
diffClass [hash=32196bf, filename=src/main/java/com/corundumstudio/socketio/HeartbeatHandler.java, changedLines=17, count=1, max=1]
diffClass [hash=32196bf, filename=src/main/java/com/corundumstudio/socketio/HeartbeatHandler.java, changedLines=18, count=1, max=1]
diffClass [hash=32196bf, filename=src/main/java/com/corundumstudio/socketio/HeartbeatHandler.java, changedLines=19, count=1, max=1]
diffClass [hash=32196bf, filename=src/main/java/com/corundumstudio/socketio/HeartbeatHandler.java, changedLines=20, count=1, max=1]
diffClass [hash=32196bf, filename=src/main/java/com/corundumstudio/socketio/HeartbeatHandler.java, changedLines=21, count=1, max=1]
diffClass [hash=32196bf, filename=src/main/java/com/corundumstudio/socketio/HeartbeatHandler.java, changedLines=22, count=1, max=1]
diffClass [hash=32196bf, filename=src/main/java/com/corundumstudio/socketio/HeartbeatHandler.java, changedLines=23, count=1, max=1]
diffClass [hash=32196bf, filename=src/main/java/com/corundumstudio/socketio/HeartbeatHandler.java, changedLines=24, count=1, max=1]
diffClass [hash=32196bf, filename=src/main/java/com/corundumstudio/socketio/HeartbeatHandler.java, changedLines=25, count=1, max=1]
diffClass [hash=32196bf, filename=src/main/java/com/corundumstudio/socketio/HeartbeatHandler.java, changedLines=26, count=1, max=1]
diffClass [hash=32196bf, filename=src/main/java/com/corundumstudio/socketio/HeartbeatHandler.java, changedLines=27, count=1, max=1]
diffClass [hash=32196bf, filename=src/main/java/com/corundumstudio/socketio/HeartbeatHandler.java, changedLines=28, count=1, max=1]
diffClass [hash=32196bf, filename=src/main/java/com/corundumstudio/socketio/HeartbeatHandler.java, changedLines=29, count=1, max=1]
diffClass [hash=32196bf, filename=src/main/java/com/corundumstudio/socketio/HeartbeatHandler.java, changedLines=30, count=1, max=1]
diffClass [hash=32196bf, filename=src/main/java/com/corundumstudio/socketio/HeartbeatHandler.java, changedLines=31, count=1, max=1]
diffClass [hash=32196bf, filename=src/main/java/com/corundumstudio/socketio/HeartbeatHandler.java, changedLines=32, count=1, max=1]
diffClass [hash=32196bf, filename=src/main/java/com/corundumstudio/socketio/HeartbeatHandler.java, changedLines=33, count=1, max=1]
diffClass [hash=32196bf, filename=src/main/java/com/corundumstudio/socketio/HeartbeatHandler.java, changedLines=34, count=1, max=1]
diffClass [hash=32196bf, filename=src/main/java/com/corundumstudio/socketio/HeartbeatHandler.java, changedLines=35, count=1, max=1]
diffClass [hash=32196bf, filename=src/main/java/com/corundumstudio/socketio/HeartbeatHandler.java, changedLines=36, count=1, max=1]
diffClass [hash=32196bf, filename=src/main/java/com/corundumstudio/socketio/HeartbeatHandler.java, changedLines=37, count=1, max=1]
diffClass [hash=32196bf, filename=src/main/java/com/corundumstudio/socketio/HeartbeatHandler.java, changedLines=38, count=1, max=1]
diffClass [hash=32196bf, filename=src/main/java/com/corundumstudio/socketio/HeartbeatHandler.java, changedLines=39, count=1, max=1]
diffClass [hash=32196bf, filename=src/main/java/com/corundumstudio/socketio/HeartbeatHandler.java, changedLines=40, count=1, max=1]
diffClass [hash=32196bf, filename=src/main/java/com/corundumstudio/socketio/HeartbeatHandler.java, changedLines=41, count=1, max=1]
diffClass [hash=32196bf, filename=src/main/java/com/corundumstudio/socketio/HeartbeatHandler.java, changedLines=42, count=1, max=1]
diffClass [hash=32196bf, filename=src/main/java/com/corundumstudio/socketio/HeartbeatHandler.java, changedLines=43, count=1, max=1]
diffClass [hash=32196bf, filename=src/main/java/com/corundumstudio/socketio/HeartbeatHandler.java, changedLines=44, count=1, max=1]
diffClass [hash=32196bf, filename=src/main/java/com/corundumstudio/socketio/HeartbeatHandler.java, changedLines=45, count=1, max=1]
diffClass [hash=32196bf, filename=src/main/java/com/corundumstudio/socketio/HeartbeatHandler.java, changedLines=46, count=1, max=1]
diffClass [hash=32196bf, filename=src/main/java/com/corundumstudio/socketio/HeartbeatHandler.java, changedLines=47, count=1, max=1]
diffClass [hash=32196bf, filename=src/main/java/com/corundumstudio/socketio/HeartbeatHandler.java, changedLines=48, count=1, max=1]
diffClass [hash=32196bf, filename=src/main/java/com/corundumstudio/socketio/HeartbeatHandler.java, changedLines=49, count=1, max=1]
diffClass [hash=32196bf, filename=src/main/java/com/corundumstudio/socketio/HeartbeatHandler.java, changedLines=50, count=1, max=1]
diffClass [hash=32196bf, filename=src/main/java/com/corundumstudio/socketio/HeartbeatHandler.java, changedLines=51, count=1, max=1]
diffClass [hash=32196bf, filename=src/main/java/com/corundumstudio/socketio/HeartbeatHandler.java, changedLines=52, count=1, max=1]
diffClass [hash=32196bf, filename=src/main/java/com/corundumstudio/socketio/HeartbeatHandler.java, changedLines=53, count=1, max=1]
diffClass [hash=32196bf, filename=src/main/java/com/corundumstudio/socketio/HeartbeatHandler.java, changedLines=54, count=1, max=1]
diffClass [hash=32196bf, filename=src/main/java/com/corundumstudio/socketio/HeartbeatHandler.java, changedLines=55, count=1, max=1]
diffClass [hash=32196bf, filename=src/main/java/com/corundumstudio/socketio/HeartbeatHandler.java, changedLines=56, count=1, max=1]
diffClass [hash=32196bf, filename=src/main/java/com/corundumstudio/socketio/HeartbeatHandler.java, changedLines=57, count=1, max=1]
diffClass [hash=32196bf, filename=src/main/java/com/corundumstudio/socketio/HeartbeatHandler.java, changedLines=58, count=1, max=1]
diffClass [hash=32196bf, filename=src/main/java/com/corundumstudio/socketio/HeartbeatHandler.java, changedLines=59, count=1, max=1]
diffClass [hash=32196bf, filename=src/main/java/com/corundumstudio/socketio/HeartbeatHandler.java, changedLines=60, count=1, max=1]
diffClass [hash=32196bf, filename=src/main/java/com/corundumstudio/socketio/HeartbeatHandler.java, changedLines=61, count=1, max=1]
diffClass [hash=32196bf, filename=src/main/java/com/corundumstudio/socketio/HeartbeatHandler.java, changedLines=62, count=1, max=1]
diffClass [hash=32196bf, filename=src/main/java/com/corundumstudio/socketio/HeartbeatHandler.java, changedLines=63, count=1, max=1]
diffClass [hash=32196bf, filename=src/main/java/com/corundumstudio/socketio/HeartbeatHandler.java, changedLines=64, count=1, max=1]
diffClass [hash=32196bf, filename=src/main/java/com/corundumstudio/socketio/HeartbeatHandler.java, changedLines=65, count=1, max=1]
diffClass [hash=32196bf, filename=src/main/java/com/corundumstudio/socketio/HeartbeatHandler.java, changedLines=66, count=1, max=1]
diffClass [hash=32196bf, filename=src/main/java/com/corundumstudio/socketio/HeartbeatHandler.java, changedLines=67, count=1, max=1]
diffClass [hash=32196bf, filename=src/main/java/com/corundumstudio/socketio/HeartbeatHandler.java, changedLines=68, count=1, max=1]
diffClass [hash=32196bf, filename=src/main/java/com/corundumstudio/socketio/HeartbeatHandler.java, changedLines=69, count=1, max=1]
diffClass [hash=32196bf, filename=src/main/java/com/corundumstudio/socketio/HeartbeatHandler.java, changedLines=70, count=1, max=1]
diffClass [hash=32196bf, filename=src/main/java/com/corundumstudio/socketio/HeartbeatHandler.java, changedLines=71, count=1, max=1]
diffClass [hash=32196bf, filename=src/main/java/com/corundumstudio/socketio/HeartbeatHandler.java, changedLines=72, count=1, max=1]
diffClass [hash=32196bf, filename=src/main/java/com/corundumstudio/socketio/HeartbeatHandler.java, changedLines=73, count=1, max=1]
diffClass [hash=32196bf, filename=src/main/java/com/corundumstudio/socketio/HeartbeatHandler.java, changedLines=74, count=1, max=1]
diffClass [hash=32196bf, filename=src/main/java/com/corundumstudio/socketio/HeartbeatHandler.java, changedLines=75, count=1, max=1]
diffClass [hash=32196bf, filename=src/main/java/com/corundumstudio/socketio/HeartbeatHandler.java, changedLines=76, count=1, max=1]
diffClass [hash=32196bf, filename=src/main/java/com/corundumstudio/socketio/HeartbeatHandler.java, changedLines=77, count=1, max=1]
diffClass [hash=32196bf, filename=src/main/java/com/corundumstudio/socketio/HeartbeatHandler.java, changedLines=78, count=1, max=1]
diffClass [hash=32196bf, filename=src/main/java/com/corundumstudio/socketio/HeartbeatHandler.java, changedLines=79, count=1, max=1]
diffClass [hash=32196bf, filename=src/main/java/com/corundumstudio/socketio/HeartbeatHandler.java, changedLines=80, count=1, max=1]
diffClass [hash=32196bf, filename=src/main/java/com/corundumstudio/socketio/HeartbeatHandler.java, changedLines=81, count=1, max=1]
diffClass [hash=32196bf, filename=src/main/java/com/corundumstudio/socketio/HeartbeatHandler.java, changedLines=82, count=1, max=1]
diffClass [hash=32196bf, filename=src/main/java/com/corundumstudio/socketio/HeartbeatHandler.java, changedLines=83, count=1, max=1]
diffClass [hash=32196bf, filename=src/main/java/com/corundumstudio/socketio/HeartbeatHandler.java, changedLines=84, count=1, max=1]
diffClass [hash=f, filename=/dev/null, changedLines=0, count=2, max=2]
diffClass [hash=et, filename=/dev/null, changedLines=0, count=15, max=15]
diffClass [hash=092a8e6, filename=src/main/java/com/corundumstudio/socketio/NullChannelFuture.java, changedLines=1, count=1, max=1]
diffClass [hash=092a8e6, filename=src/main/java/com/corundumstudio/socketio/NullChannelFuture.java, changedLines=2, count=1, max=1]
diffClass [hash=092a8e6, filename=src/main/java/com/corundumstudio/socketio/NullChannelFuture.java, changedLines=3, count=1, max=1]
diffClass [hash=092a8e6, filename=src/main/java/com/corundumstudio/socketio/NullChannelFuture.java, changedLines=4, count=1, max=1]
diffClass [hash=092a8e6, filename=src/main/java/com/corundumstudio/socketio/NullChannelFuture.java, changedLines=5, count=1, max=1]
diffClass [hash=092a8e6, filename=src/main/java/com/corundumstudio/socketio/NullChannelFuture.java, changedLines=6, count=1, max=1]
diffClass [hash=092a8e6, filename=src/main/java/com/corundumstudio/socketio/NullChannelFuture.java, changedLines=7, count=1, max=1]
diffClass [hash=092a8e6, filename=src/main/java/com/corundumstudio/socketio/NullChannelFuture.java, changedLines=8, count=1, max=1]
diffClass [hash=092a8e6, filename=src/main/java/com/corundumstudio/socketio/NullChannelFuture.java, changedLines=9, count=1, max=1]
diffClass [hash=092a8e6, filename=src/main/java/com/corundumstudio/socketio/NullChannelFuture.java, changedLines=10, count=1, max=1]
diffClass [hash=092a8e6, filename=src/main/java/com/corundumstudio/socketio/NullChannelFuture.java, changedLines=11, count=1, max=1]
diffClass [hash=092a8e6, filename=src/main/java/com/corundumstudio/socketio/NullChannelFuture.java, changedLines=12, count=1, max=1]
diffClass [hash=092a8e6, filename=src/main/java/com/corundumstudio/socketio/NullChannelFuture.java, changedLines=13, count=1, max=1]
diffClass [hash=092a8e6, filename=src/main/java/com/corundumstudio/socketio/NullChannelFuture.java, changedLines=14, count=1, max=1]
diffClass [hash=092a8e6, filename=src/main/java/com/corundumstudio/socketio/NullChannelFuture.java, changedLines=15, count=1, max=1]
diffClass [hash=092a8e6, filename=src/main/java/com/corundumstudio/socketio/NullChannelFuture.java, changedLines=16, count=1, max=1]
diffClass [hash=092a8e6, filename=src/main/java/com/corundumstudio/socketio/NullChannelFuture.java, changedLines=17, count=1, max=1]
diffClass [hash=092a8e6, filename=src/main/java/com/corundumstudio/socketio/NullChannelFuture.java, changedLines=18, count=1, max=1]
diffClass [hash=092a8e6, filename=src/main/java/com/corundumstudio/socketio/NullChannelFuture.java, changedLines=19, count=1, max=1]
diffClass [hash=092a8e6, filename=src/main/java/com/corundumstudio/socketio/NullChannelFuture.java, changedLines=20, count=1, max=1]
diffClass [hash=092a8e6, filename=src/main/java/com/corundumstudio/socketio/NullChannelFuture.java, changedLines=21, count=1, max=1]
diffClass [hash=092a8e6, filename=src/main/java/com/corundumstudio/socketio/NullChannelFuture.java, changedLines=22, count=1, max=1]
diffClass [hash=092a8e6, filename=src/main/java/com/corundumstudio/socketio/NullChannelFuture.java, changedLines=23, count=1, max=1]
diffClass [hash=092a8e6, filename=src/main/java/com/corundumstudio/socketio/NullChannelFuture.java, changedLines=24, count=1, max=1]
diffClass [hash=092a8e6, filename=src/main/java/com/corundumstudio/socketio/NullChannelFuture.java, changedLines=25, count=1, max=1]
diffClass [hash=092a8e6, filename=src/main/java/com/corundumstudio/socketio/NullChannelFuture.java, changedLines=26, count=1, max=1]
diffClass [hash=092a8e6, filename=src/main/java/com/corundumstudio/socketio/NullChannelFuture.java, changedLines=27, count=1, max=1]
diffClass [hash=092a8e6, filename=src/main/java/com/corundumstudio/socketio/NullChannelFuture.java, changedLines=28, count=1, max=1]
diffClass [hash=092a8e6, filename=src/main/java/com/corundumstudio/socketio/NullChannelFuture.java, changedLines=29, count=1, max=1]
diffClass [hash=092a8e6, filename=src/main/java/com/corundumstudio/socketio/NullChannelFuture.java, changedLines=30, count=1, max=1]
diffClass [hash=092a8e6, filename=src/main/java/com/corundumstudio/socketio/NullChannelFuture.java, changedLines=31, count=1, max=1]
diffClass [hash=092a8e6, filename=src/main/java/com/corundumstudio/socketio/NullChannelFuture.java, changedLines=32, count=1, max=1]
diffClass [hash=092a8e6, filename=src/main/java/com/corundumstudio/socketio/NullChannelFuture.java, changedLines=33, count=1, max=1]
diffClass [hash=092a8e6, filename=src/main/java/com/corundumstudio/socketio/NullChannelFuture.java, changedLines=34, count=1, max=1]
diffClass [hash=092a8e6, filename=src/main/java/com/corundumstudio/socketio/NullChannelFuture.java, changedLines=35, count=1, max=1]
diffClass [hash=092a8e6, filename=src/main/java/com/corundumstudio/socketio/NullChannelFuture.java, changedLines=36, count=1, max=1]
diffClass [hash=092a8e6, filename=src/main/java/com/corundumstudio/socketio/NullChannelFuture.java, changedLines=37, count=1, max=1]
diffClass [hash=092a8e6, filename=src/main/java/com/corundumstudio/socketio/NullChannelFuture.java, changedLines=38, count=1, max=1]
diffClass [hash=092a8e6, filename=src/main/java/com/corundumstudio/socketio/NullChannelFuture.java, changedLines=39, count=1, max=1]
diffClass [hash=092a8e6, filename=src/main/java/com/corundumstudio/socketio/NullChannelFuture.java, changedLines=40, count=1, max=1]
diffClass [hash=092a8e6, filename=src/main/java/com/corundumstudio/socketio/NullChannelFuture.java, changedLines=41, count=1, max=1]
diffClass [hash=092a8e6, filename=src/main/java/com/corundumstudio/socketio/NullChannelFuture.java, changedLines=42, count=1, max=1]
diffClass [hash=092a8e6, filename=src/main/java/com/corundumstudio/socketio/NullChannelFuture.java, changedLines=43, count=1, max=1]
diffClass [hash=092a8e6, filename=src/main/java/com/corundumstudio/socketio/NullChannelFuture.java, changedLines=44, count=1, max=1]
diffClass [hash=092a8e6, filename=src/main/java/com/corundumstudio/socketio/NullChannelFuture.java, changedLines=45, count=1, max=1]
diffClass [hash=092a8e6, filename=src/main/java/com/corundumstudio/socketio/NullChannelFuture.java, changedLines=46, count=1, max=1]
diffClass [hash=092a8e6, filename=src/main/java/com/corundumstudio/socketio/NullChannelFuture.java, changedLines=47, count=1, max=1]
diffClass [hash=092a8e6, filename=src/main/java/com/corundumstudio/socketio/NullChannelFuture.java, changedLines=48, count=1, max=1]
diffClass [hash=092a8e6, filename=src/main/java/com/corundumstudio/socketio/NullChannelFuture.java, changedLines=49, count=1, max=1]
diffClass [hash=092a8e6, filename=src/main/java/com/corundumstudio/socketio/NullChannelFuture.java, changedLines=50, count=1, max=1]
diffClass [hash=092a8e6, filename=src/main/java/com/corundumstudio/socketio/NullChannelFuture.java, changedLines=51, count=1, max=1]
diffClass [hash=092a8e6, filename=src/main/java/com/corundumstudio/socketio/NullChannelFuture.java, changedLines=52, count=1, max=1]
diffClass [hash=092a8e6, filename=src/main/java/com/corundumstudio/socketio/NullChannelFuture.java, changedLines=53, count=1, max=1]
diffClass [hash=092a8e6, filename=src/main/java/com/corundumstudio/socketio/NullChannelFuture.java, changedLines=54, count=1, max=1]
diffClass [hash=092a8e6, filename=src/main/java/com/corundumstudio/socketio/NullChannelFuture.java, changedLines=55, count=1, max=1]
diffClass [hash=092a8e6, filename=src/main/java/com/corundumstudio/socketio/NullChannelFuture.java, changedLines=56, count=1, max=1]
diffClass [hash=092a8e6, filename=src/main/java/com/corundumstudio/socketio/NullChannelFuture.java, changedLines=57, count=1, max=1]
diffClass [hash=092a8e6, filename=src/main/java/com/corundumstudio/socketio/NullChannelFuture.java, changedLines=58, count=1, max=1]
diffClass [hash=092a8e6, filename=src/main/java/com/corundumstudio/socketio/NullChannelFuture.java, changedLines=59, count=1, max=1]
diffClass [hash=092a8e6, filename=src/main/java/com/corundumstudio/socketio/NullChannelFuture.java, changedLines=60, count=1, max=1]
diffClass [hash=092a8e6, filename=src/main/java/com/corundumstudio/socketio/NullChannelFuture.java, changedLines=61, count=1, max=1]
diffClass [hash=092a8e6, filename=src/main/java/com/corundumstudio/socketio/NullChannelFuture.java, changedLines=62, count=1, max=1]
diffClass [hash=092a8e6, filename=src/main/java/com/corundumstudio/socketio/NullChannelFuture.java, changedLines=63, count=1, max=1]
diffClass [hash=092a8e6, filename=src/main/java/com/corundumstudio/socketio/NullChannelFuture.java, changedLines=64, count=1, max=1]
diffClass [hash=092a8e6, filename=src/main/java/com/corundumstudio/socketio/NullChannelFuture.java, changedLines=65, count=1, max=1]
diffClass [hash=092a8e6, filename=src/main/java/com/corundumstudio/socketio/NullChannelFuture.java, changedLines=66, count=1, max=1]
diffClass [hash=092a8e6, filename=src/main/java/com/corundumstudio/socketio/NullChannelFuture.java, changedLines=67, count=1, max=1]
diffClass [hash=092a8e6, filename=src/main/java/com/corundumstudio/socketio/NullChannelFuture.java, changedLines=68, count=1, max=1]
diffClass [hash=092a8e6, filename=src/main/java/com/corundumstudio/socketio/NullChannelFuture.java, changedLines=69, count=1, max=1]
diffClass [hash=092a8e6, filename=src/main/java/com/corundumstudio/socketio/NullChannelFuture.java, changedLines=70, count=1, max=1]
diffClass [hash=092a8e6, filename=src/main/java/com/corundumstudio/socketio/NullChannelFuture.java, changedLines=71, count=1, max=1]
diffClass [hash=092a8e6, filename=src/main/java/com/corundumstudio/socketio/NullChannelFuture.java, changedLines=72, count=1, max=1]
diffClass [hash=092a8e6, filename=src/main/java/com/corundumstudio/socketio/NullChannelFuture.java, changedLines=73, count=1, max=1]
diffClass [hash=092a8e6, filename=src/main/java/com/corundumstudio/socketio/NullChannelFuture.java, changedLines=74, count=1, max=1]
diffClass [hash=092a8e6, filename=src/main/java/com/corundumstudio/socketio/NullChannelFuture.java, changedLines=75, count=1, max=1]
diffClass [hash=092a8e6, filename=src/main/java/com/corundumstudio/socketio/NullChannelFuture.java, changedLines=76, count=1, max=1]
diffClass [hash=092a8e6, filename=src/main/java/com/corundumstudio/socketio/NullChannelFuture.java, changedLines=77, count=1, max=1]
diffClass [hash=092a8e6, filename=src/main/java/com/corundumstudio/socketio/NullChannelFuture.java, changedLines=78, count=1, max=1]
diffClass [hash=092a8e6, filename=src/main/java/com/corundumstudio/socketio/NullChannelFuture.java, changedLines=79, count=1, max=1]
diffClass [hash=092a8e6, filename=src/main/java/com/corundumstudio/socketio/NullChannelFuture.java, changedLines=80, count=1, max=1]
diffClass [hash=092a8e6, filename=src/main/java/com/corundumstudio/socketio/NullChannelFuture.java, changedLines=81, count=1, max=1]
diffClass [hash=092a8e6, filename=src/main/java/com/corundumstudio/socketio/NullChannelFuture.java, changedLines=82, count=1, max=1]
diffClass [hash=092a8e6, filename=src/main/java/com/corundumstudio/socketio/NullChannelFuture.java, changedLines=83, count=1, max=1]
diffClass [hash=092a8e6, filename=src/main/java/com/corundumstudio/socketio/NullChannelFuture.java, changedLines=84, count=1, max=1]
diffClass [hash=092a8e6, filename=src/main/java/com/corundumstudio/socketio/NullChannelFuture.java, changedLines=85, count=1, max=1]
diffClass [hash=092a8e6, filename=src/main/java/com/corundumstudio/socketio/NullChannelFuture.java, changedLines=86, count=1, max=1]
diffClass [hash=092a8e6, filename=src/main/java/com/corundumstudio/socketio/NullChannelFuture.java, changedLines=87, count=1, max=1]
diffClass [hash=092a8e6, filename=src/main/java/com/corundumstudio/socketio/NullChannelFuture.java, changedLines=88, count=1, max=1]
diffClass [hash=092a8e6, filename=src/main/java/com/corundumstudio/socketio/NullChannelFuture.java, changedLines=89, count=1, max=1]
diffClass [hash=092a8e6, filename=src/main/java/com/corundumstudio/socketio/NullChannelFuture.java, changedLines=90, count=1, max=1]
diffClass [hash=092a8e6, filename=src/main/java/com/corundumstudio/socketio/NullChannelFuture.java, changedLines=91, count=1, max=1]
diffClass [hash=092a8e6, filename=src/main/java/com/corundumstudio/socketio/NullChannelFuture.java, changedLines=92, count=1, max=1]
